time_s,joint,position,velocity,effort
1762773237.646502,joint_a2,1.420143397337883,-0.08085708158373778,0.0
1762773237.646502,joint_a3,0.8950968013895373,-0.02224402769277051,0.0
1762773237.646502,joint_a4,1.9501198511586373,0.013530442620829497,0.0
1762773237.646502,joint_a5,2.469558848209265,-0.043729437190378584,0.0
1762773237.646502,joint_a6,1.0397949272066582,-0.14645984335382387,0.0
1762773237.646502,joint_a7,-0.7396264124539557,0.07540399688778546,0.0
1762773237.6509306,joint_a1,0.46262198392916964,-0.11794982452545157,0.0
1762773237.6509306,joint_a2,1.4197931211453219,-0.08085708158373778,0.0
1762773237.6509306,joint_a3,0.8950004393495671,-0.02224402769277051,0.0
1762773237.6509306,joint_a4,1.950178465590819,0.013530442620829497,0.0
1762773237.6509306,joint_a5,2.4693694104944495,-0.043729437190378584,0.0
1762773237.6509306,joint_a6,1.0391604571603958,-0.14645984335382387,0.0
1762773237.6509306,joint_a7,-0.7392997592478739,0.07540399688778546,0.0
1762773237.6555178,joint_a1,0.4620740775067928,-0.11794982452545157,0.0
1762773237.6555178,joint_a2,1.419417519787095,-0.08085708158373778,0.0
1762773237.6555178,joint_a3,0.8948971102799272,-0.02224402769277051,0.0
1762773237.6555178,joint_a4,1.9502413178794034,0.013530442620829497,0.0
1762773237.6555178,joint_a5,2.469166276326341,-0.043729437190378584,0.0
1762773237.6555178,joint_a6,1.0384801145730564,-0.14645984335382387,0.0
1762773237.6555178,joint_a7,-0.7389494888313309,0.07540399688778546,0.0
1762773237.6603858,joint_a1,0.46149495365820825,-0.11794982452545157,0.0
1762773237.6603858,joint_a2,1.4190205182276567,-0.08085708158373778,0.0
1762773237.6603858,joint_a3,0.8947878939502101,-0.02224402769277051,0.0
1762773237.6603858,joint_a4,1.950307751229645,0.013530442620829497,0.0
1762773237.6603858,joint_a5,2.4689515684192793,-0.043729437190378584,0.0
1762773237.6603858,joint_a6,1.0377610088983562,-0.14645984335382387,0.0
1762773237.6603858,joint_a7,-0.7385792614651436,0.07540399688778546,0.0
1762773237.6667714,joint_a1,0.46106478085832847,-0.11794982452545157,0.0
1762773237.6667714,joint_a2,1.4187256257399832,-0.08085708158373778,0.0
1762773237.6667714,joint_a3,0.8947067681349602,-0.02224402769277051,0.0
1762773237.6667714,joint_a4,1.9503570978769098,0.013530442620829497,0.0
1762773237.6667714,joint_a5,2.4687920835323025,-0.043729437190378584,0.0
1762773237.6667714,joint_a6,1.0372268576934778,-0.14645984335382387,0.0
1762773237.6667714,joint_a7,-0.7383042568299621,0.07540399688778546,0.0
1762773237.6699624,joint_a1,0.46054124086455156,-0.11794982452545157,0.0
1762773237.6699624,joint_a2,1.4183667280802412,-0.08085708158373778,0.0
1762773237.6699624,joint_a3,0.8946080343032932,-0.02224402769277051,0.0
1762773237.6699624,joint_a4,1.9504171550060663,0.013530442620829497,0.0
1762773237.6699624,joint_a5,2.468597983122517,-0.043729437190378584,0.0
1762773237.6699624,joint_a6,1.036576771219958,-0.14645984335382387,0.0
1762773237.6699624,joint_a7,-0.7379695635973083,0.07540399688778546,0.0
1762773237.6731477,joint_a1,0.460003949926382,-0.11794982452545157,0.0
1762773237.6731477,joint_a2,1.417998403859357,-0.08085708158373778,0.0
1762773237.6731477,joint_a3,0.8945067071961457,-0.02224402769277051,0.0
1762773237.6731477,joint_a4,1.9504787895548148,0.013530442620829497,0.0
1762773237.6731477,joint_a5,2.468398784603756,-0.043729437190378584,0.0
1762773237.6731477,joint_a6,1.0359096100185206,-0.14645984335382387,0.0
1762773237.6731477,joint_a7,-0.7376260795404852,0.07540399688778546,0.0
1762773237.677422,joint_a1,0.4594831227785692,-0.11794982452545157,0.0
1762773237.677422,joint_a2,1.4176413659124913,-0.08085708158373778,0.0
1762773237.677422,joint_a3,0.8944084849771157,-0.02224402769277051,0.0
1762773237.677422,joint_a4,1.950538535483791,0.013530442620829497,0.0
1762773237.677422,joint_a5,2.468205689971026,-0.043729437190378584,0.0
1762773237.677422,joint_a6,1.035262892121398,-0.14645984335382387,0.0
